capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
100000,0.0054,1063.0420,8,141.471107ms,131.249495ms,100000,100000,3,1000,0.0030
100000,0.0051,1072.9590,8,146.006804ms,136.896509ms,100000,100000,2,1000,0.0020
100000,0.0049,1082.8760,8,170.527144ms,126.810677ms,100000,100000,3,1000,0.0030
100000,0.0046,1092.7939,8,147.639017ms,130.284261ms,100000,100000,5,1000,0.0050
100000,0.0044,1102.7109,8,148.553403ms,133.429519ms,100000,100000,2,1000,0.0020
100000,0.0042,1112.6279,8,150.49895ms,129.525645ms,100000,100000,4,1000,0.0040
100000,0.0040,1122.5449,8,140.735103ms,133.226721ms,100000,100000,2,1000,0.0020
100000,0.0038,1132.4619,9,158.101628ms,131.549948ms,100000,100000,2,1000,0.0020
100000,0.0036,1142.3789,9,153.968693ms,128.014819ms,100000,100000,2,1000,0.0020
100000,0.0035,1152.2959,9,144.38449ms,131.974133ms,100000,100000,0,1000,0.0000
100000,0.0033,1162.2129,9,148.276224ms,143.519915ms,100000,100000,2,1000,0.0020
100000,0.0031,1172.1299,9,145.349946ms,133.918633ms,100000,100000,1,1000,0.0010
100000,0.0030,1182.0469,9,139.69495ms,148.975017ms,100000,100000,0,1000,0.0000
100000,0.0028,1191.9639,9,150.451141ms,129.070396ms,100000,100000,1,1000,0.0010
100000,0.0027,1201.8809,9,151.538418ms,133.335164ms,100000,100000,2,1000,0.0020
100000,0.0026,1211.7979,9,149.131543ms,133.022682ms,100000,100000,2,1000,0.0020
100000,0.0025,1221.7148,9,146.190408ms,132.572597ms,100000,100000,0,1000,0.0000
100000,0.0023,1231.6318,9,150.591038ms,137.869086ms,100000,100000,1,1000,0.0010
100000,0.0022,1241.5488,9,138.739805ms,136.58403ms,100000,100000,0,1000,0.0000
100000,0.0021,1251.4658,9,147.621451ms,133.952229ms,100000,100000,1,1000,0.0010
100000,0.0020,1261.3828,9,149.805471ms,130.638203ms,100000,100000,1,1000,0.0010
100000,0.0019,1271.2998,10,156.137928ms,125.76029ms,100000,100000,1,1000,0.0010
100000,0.0018,1281.2168,10,148.195786ms,139.248661ms,100000,100000,2,1000,0.0020
100000,0.0017,1291.1338,10,145.005284ms,142.677406ms,100000,100000,0,1000,0.0000
100000,0.0017,1301.0508,10,157.817583ms,136.439022ms,100000,100000,0,1000,0.0000
100000,0.0016,1310.9678,10,143.915497ms,138.00488ms,100000,100000,0,1000,0.0000
100000,0.0015,1320.8848,10,150.075661ms,129.210332ms,100000,100000,2,1000,0.0020
100000,0.0014,1330.8018,10,151.411018ms,130.963693ms,100000,100000,1,1000,0.0010
100000,0.0014,1340.7188,10,154.850492ms,127.404118ms,100000,100000,1,1000,0.0010
100000,0.0013,1350.6357,10,148.862654ms,136.367304ms,100000,100000,0,1000,0.0000
100000,0.0012,1360.5527,10,149.063966ms,140.14161ms,100000,100000,0,1000,0.0000
100000,0.0012,1370.4697,10,146.689283ms,135.680186ms,100000,100000,0,1000,0.0000
100000,0.0011,1380.3867,10,147.079689ms,131.348397ms,100000,100000,0,1000,0.0000
100000,0.0011,1390.3047,10,153.711503ms,132.28918ms,100000,100000,0,1000,0.0000
100000,0.0010,1400.2217,10,151.843381ms,133.426686ms,100000,100000,0,1000,0.0000
100000,0.0010,1410.1387,11,151.125366ms,133.577199ms,100000,100000,0,1000,0.0000
100000,0.0009,1420.0557,11,143.698051ms,139.053743ms,100000,100000,0,1000,0.0000
100000,0.0009,1429.9727,11,150.326655ms,143.735015ms,100000,100000,0,1000,0.0000
100000,0.0008,1439.8896,11,152.655911ms,135.307505ms,100000,100000,0,1000,0.0000
100000,0.0008,1449.8066,11,149.519763ms,136.949536ms,100000,100000,0,1000,0.0000
100000,0.0008,1459.7236,11,150.062334ms,134.902176ms,100000,100000,0,1000,0.0000
100000,0.0007,1469.6406,11,159.162844ms,129.631232ms,100000,100000,1,1000,0.0010
100000,0.0007,1479.5576,11,169.333053ms,132.484317ms,100000,100000,0,1000,0.0000
100000,0.0007,1489.4746,11,151.934789ms,132.051335ms,100000,100000,0,1000,0.0000
100000,0.0006,1499.3916,11,154.428087ms,135.920753ms,100000,100000,0,1000,0.0000
100000,0.0006,1509.3086,11,156.596182ms,131.745515ms,100000,100000,2,1000,0.0020
100000,0.0006,1519.2256,11,148.222065ms,138.381787ms,100000,100000,0,1000,0.0000
100000,0.0005,1529.1426,11,146.073468ms,152.31283ms,100000,100000,0,1000,0.0000
100000,0.0005,1539.0596,11,148.274835ms,132.468333ms,100000,100000,0,1000,0.0000
100000,0.0005,1548.9766,11,150.035062ms,142.676772ms,100000,100000,1,1000,0.0010
100000,0.0005,1558.8936,12,151.825432ms,135.874772ms,100000,100000,0,1000,0.0000
100000,0.0004,1568.8105,12,162.514665ms,132.251651ms,100000,100000,0,1000,0.0000
100000,0.0004,1578.7275,12,154.915447ms,130.843236ms,100000,100000,0,1000,0.0000
100000,0.0004,1588.6445,12,155.990855ms,130.306516ms,100000,100000,1,1000,0.0010
100000,0.0004,1598.5615,12,157.885903ms,133.266142ms,100000,100000,0,1000,0.0000
100000,0.0004,1608.4785,12,154.343104ms,138.106085ms,100000,100000,0,1000,0.0000
100000,0.0003,1618.3955,12,158.536911ms,138.368713ms,100000,100000,0,1000,0.0000
100000,0.0003,1628.3125,12,152.673843ms,144.873379ms,100000,100000,0,1000,0.0000
100000,0.0003,1638.2295,12,153.275122ms,139.65276ms,100000,100000,0,1000,0.0000
100000,0.0003,1648.1465,12,148.377308ms,141.652002ms,100000,100000,0,1000,0.0000
100000,0.0003,1658.0635,12,147.910117ms,140.479842ms,100000,100000,0,1000,0.0000
100000,0.0003,1667.9805,12,149.605274ms,140.742522ms,100000,100000,0,1000,0.0000
100000,0.0003,1677.8975,12,152.314783ms,142.339599ms,100000,100000,0,1000,0.0000
100000,0.0002,1687.8154,12,154.003191ms,148.087572ms,100000,100000,0,1000,0.0000
100000,0.0002,1697.7324,13,149.74725ms,137.683174ms,100000,100000,0,1000,0.0000
100000,0.0002,1707.6494,13,154.242206ms,132.550447ms,100000,100000,0,1000,0.0000
100000,0.0002,1717.5664,13,156.429684ms,138.232827ms,100000,100000,0,1000,0.0000
100000,0.0002,1727.4834,13,153.73441ms,129.525913ms,100000,100000,0,1000,0.0000
100000,0.0002,1737.4004,13,158.963772ms,138.050416ms,100000,100000,0,1000,0.0000
