capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
1000000,0.007532985809,9936.2275,8,1.500971535s,1.338094635s,1000000,1000000,4,1000,0.0040
1000000,0.007174272199,10035.3984,8,1.686715088s,1.369415601s,1000000,1000000,2,1000,0.0020
1000000,0.006832640190,10134.5684,8,1.479270235s,1.314453862s,1000000,1000000,2,1000,0.0020
1000000,0.006507276371,10233.7383,8,1.605877558s,1.418758664s,1000000,1000000,2,1000,0.0020
1000000,0.006197406068,10332.9092,8,1.57464998s,1.403501524s,1000000,1000000,4,1000,0.0040
1000000,0.005902291493,10432.0791,8,1.666225323s,1.50905593s,1000000,1000000,1,1000,0.0010
1000000,0.005621229993,10531.2490,8,1.633990212s,1.809266764s,1000000,1000000,5,1000,0.0050
1000000,0.005353552375,10630.4199,8,1.544041797s,1.466424677s,1000000,1000000,5,1000,0.0050
1000000,0.005098621309,10729.5898,8,1.625259136s,1.416946041s,1000000,1000000,2,1000,0.0020
1000000,0.004855829818,10828.7598,8,1.995503827s,1.36061005s,1000000,1000000,2,1000,0.0020
1000000,0.004624599827,10927.9307,8,1.84547801s,1.378214531s,1000000,1000000,2,1000,0.0020
1000000,0.004404380788,11027.1006,8,1.562687791s,1.357117638s,1000000,1000000,2,1000,0.0020
1000000,0.004194648369,11126.2705,8,1.524191373s,1.326494138s,1000000,1000000,1,1000,0.0010
1000000,0.003994903209,11225.4414,8,1.502523144s,1.366025012s,1000000,1000000,3,1000,0.0030
1000000,0.003804669723,11324.6113,9,1.517970981s,1.39203427s,1000000,1000000,1,1000,0.0010
1000000,0.003623494974,11423.7812,9,1.4685423s,1.422811448s,1000000,1000000,2,1000,0.0020
1000000,0.003450947594,11522.9521,9,1.499809081s,1.472518819s,1000000,1000000,1,1000,0.0010
1000000,0.003286616756,11622.1221,9,1.512028869s,1.347240897s,1000000,1000000,1,1000,0.0010
1000000,0.003130111196,11721.2920,9,1.522803331s,1.293460686s,1000000,1000000,2,1000,0.0020
1000000,0.002981058282,11820.4629,9,1.460506844s,1.381053997s,1000000,1000000,0,1000,0.0000
1000000,0.002839103126,11919.6328,9,1.485242715s,1.378357253s,1000000,1000000,1,1000,0.0010
1000000,0.002703907739,12018.8027,9,1.528986809s,1.390282062s,1000000,1000000,1,1000,0.0010
1000000,0.002575150228,12117.9736,9,1.512107367s,1.328757986s,1000000,1000000,2,1000,0.0020
1000000,0.002452524026,12217.1436,9,1.498061628s,1.33499899s,1000000,1000000,1,1000,0.0010
1000000,0.002335737168,12316.3135,9,1.488943086s,1.291851183s,1000000,1000000,1,1000,0.0010
1000000,0.002224511589,12415.4844,9,1.501437588s,1.316907177s,1000000,1000000,0,1000,0.0000
1000000,0.002118582465,12514.6543,9,1.459062406s,1.326139155s,1000000,1000000,2,1000,0.0020
1000000,0.002017697586,12613.8242,9,1.486142184s,1.325913302s,1000000,1000000,2,1000,0.0020
1000000,0.001921616749,12712.9951,10,1.504984144s,1.352486769s,1000000,1000000,2,1000,0.0020
1000000,0.001830111189,12812.1650,10,1.470986612s,1.329134031s,1000000,1000000,0,1000,0.0000
1000000,0.001742963037,12911.3350,10,1.481531966s,1.321473887s,1000000,1000000,0,1000,0.0000
1000000,0.001659964797,13010.5059,10,1.489618573s,1.336908318s,1000000,1000000,0,1000,0.0000
1000000,0.001580918855,13109.6758,10,1.532844001s,1.478104187s,1000000,1000000,3,1000,0.0030
1000000,0.001505637004,13208.8457,10,1.494021934s,1.335315641s,1000000,1000000,2,1000,0.0020
1000000,0.001433940004,13308.0166,10,1.561211025s,1.334461518s,1000000,1000000,2,1000,0.0020
1000000,0.001365657147,13407.1865,10,1.623821218s,1.372230529s,1000000,1000000,1,1000,0.0010
1000000,0.001300625854,13506.3564,10,1.467415668s,1.517032508s,1000000,1000000,0,1000,0.0000
1000000,0.001238691290,13605.5273,10,1.634995081s,1.506781774s,1000000,1000000,1,1000,0.0010
1000000,0.001179705990,13704.6973,10,1.481117421s,1.370119251s,1000000,1000000,0,1000,0.0000
1000000,0.001123529514,13803.8672,10,1.766099418s,1.324478867s,1000000,1000000,1,1000,0.0010
1000000,0.001070028109,13903.0381,10,1.94018799s,1.317426563s,1000000,1000000,1,1000,0.0010
1000000,0.001019074390,14002.2080,10,1.517676868s,1.347380033s,1000000,1000000,1,1000,0.0010
1000000,0.000970547038,14101.3779,11,1.557957029s,1.340118656s,1000000,1000000,1,1000,0.0010
1000000,0.000924330512,14200.5488,11,1.530186391s,1.389576327s,1000000,1000000,1,1000,0.0010
1000000,0.000880314773,14299.7188,11,1.721700352s,1.369911041s,1000000,1000000,0,1000,0.0000
1000000,0.000838395022,14398.8887,11,1.662240715s,1.502850698s,1000000,1000000,0,1000,0.0000
1000000,0.000798471450,14498.0596,11,1.562076979s,1.370507412s,1000000,1000000,0,1000,0.0000
1000000,0.000760449000,14597.2295,11,1.527849521s,1.378619163s,1000000,1000000,0,1000,0.0000
1000000,0.000724237143,14696.3994,11,1.519553671s,1.357074626s,1000000,1000000,0,1000,0.0000
1000000,0.000689749660,14795.5703,11,1.566762416s,1.315075159s,1000000,1000000,0,1000,0.0000
1000000,0.000656904438,14894.7402,11,1.547983703s,1.36276827s,1000000,1000000,0,1000,0.0000
1000000,0.000625623274,14993.9102,11,1.530932893s,1.339834482s,1000000,1000000,1,1000,0.0010
1000000,0.000595831690,15093.0811,11,1.72483244s,1.382895099s,1000000,1000000,0,1000,0.0000
1000000,0.000567458752,15192.2510,11,1.56184649s,1.386945061s,1000000,1000000,0,1000,0.0000
1000000,0.000540436907,15291.4209,11,1.815086002s,1.670355948s,1000000,1000000,0,1000,0.0000
1000000,0.000514701816,15390.5918,11,1.809270838s,1.435224903s,1000000,1000000,0,1000,0.0000
1000000,0.000490192206,15489.7617,11,1.598489087s,1.481504864s,1000000,1000000,0,1000,0.0000
1000000,0.000466849720,15588.9316,12,1.626001357s,1.375644094s,1000000,1000000,0,1000,0.0000
1000000,0.000444618781,15688.1025,12,1.675087799s,1.49420588s,1000000,1000000,0,1000,0.0000
1000000,0.000423446458,15787.2725,12,2.230781854s,1.376469989s,1000000,1000000,1,1000,0.0010
1000000,0.000403282341,15886.4424,12,1.577547268s,1.344220892s,1000000,1000000,0,1000,0.0000
1000000,0.000384078420,15985.6133,12,1.558631672s,1.368134894s,1000000,1000000,0,1000,0.0000
1000000,0.000365788971,16084.7832,12,1.578631004s,1.32862852s,1000000,1000000,0,1000,0.0000
1000000,0.000348370449,16183.9531,12,1.558725175s,1.434180709s,1000000,1000000,0,1000,0.0000
1000000,0.000331781380,16283.1240,12,1.57075028s,1.367857179s,1000000,1000000,0,1000,0.0000
1000000,0.000315982266,16382.2939,12,1.585436301s,1.363815627s,1000000,1000000,0,1000,0.0000
1000000,0.000300935492,16481.4639,12,1.634821656s,1.461688543s,1000000,1000000,0,1000,0.0000
1000000,0.000286605230,16580.6348,12,1.579881636s,1.38541095s,1000000,1000000,0,1000,0.0000
1000000,0.000272957362,16679.8047,12,2.268939338s,1.515660398s,1000000,1000000,1,1000,0.0010
1000000,0.000259959393,16778.9746,12,1.715495752s,1.532381272s,1000000,1000000,0,1000,0.0000
1000000,0.000247580374,16878.1455,12,1.593417416s,1.350159489s,1000000,1000000,0,1000,0.0000
1000000,0.000235790832,16977.3154,13,1.577021011s,1.393341903s,1000000,1000000,0,1000,0.0000
1000000,0.000224562697,17076.4854,13,1.613931859s,1.410698061s,1000000,1000000,0,1000,0.0000
1000000,0.000213869236,17175.6562,13,1.544033011s,1.464406285s,1000000,1000000,0,1000,0.0000
1000000,0.000203684986,17274.8262,13,1.65088648s,1.413009484s,1000000,1000000,0,1000,0.0000
1000000,0.000193985701,17373.9961,13,1.677134473s,1.382664088s,1000000,1000000,0,1000,0.0000
